reservation_id,property_id,property_name,city,check_in,check_out,nights,guest_country,gross_amount,status
R0001,P001,Ocean View Apartment,Tangier,2026-01-04,2026-01-06,2,Spain,180,Confirmed
R0002,P001,Ocean View Apartment,Tangier,2026-01-08,2026-01-11,3,Morocco,204,Confirmed
R0003,P001,Ocean View Apartment,Tangier,2026-01-03,2026-01-09,6,France,654,Confirmed
R0004,P001,Ocean View Apartment,Tangier,2026-01-01,2026-01-03,2,Spain,164,Confirmed
R0005,P001,Ocean View Apartment,Tangier,2026-01-17,2026-01-23,6,Morocco,348,Confirmed
R0006,P002,Medina Riad,Marrakech,2026-01-14,2026-01-17,3,Morocco,336,Confirmed
R0007,P002,Medina Riad,Marrakech,2026-01-09,2026-01-11,2,Germany,150,Confirmed
R0008,P002,Medina Riad,Marrakech,2026-01-11,2026-01-15,4,Spain,296,Confirmed
R0009,P002,Medina Riad,Marrakech,2026-01-11,2026-01-13,2,Germany,132,Confirmed
R0010,P002,Medina Riad,Marrakech,2026-01-04,2026-01-08,4,Morocco,396,Confirmed
R0011,P003,Beach Studio,Agadir,2026-01-15,2026-01-21,6,Germany,420,Confirmed
R0012,P003,Beach Studio,Agadir,2026-01-03,2026-01-09,6,Morocco,552,Confirmed
R0013,P003,Beach Studio,Agadir,2026-01-12,2026-01-18,6,France,474,Confirmed
R0014,P003,Beach Studio,Agadir,2026-01-02,2026-01-09,7,UK,588,Confirmed
R0015,P003,Beach Studio,Agadir,2026-01-03,2026-01-06,3,Germany,201,Confirmed
R0016,P001,Ocean View Apartment,Tangier,2026-02-12,2026-02-15,3,UK,306,Confirmed
R0017,P001,Ocean View Apartment,Tangier,2026-02-07,2026-02-14,7,France,623,Confirmed
R0018,P001,Ocean View Apartment,Tangier,2026-02-20,2026-02-27,7,Morocco,532,Confirmed
R0019,P001,Ocean View Apartment,Tangier,2026-02-08,2026-02-11,3,Germany,342,Confirmed
R0020,P001,Ocean View Apartment,Tangier,2026-02-09,2026-02-16,7,Spain,882,Confirmed
