property_id,property_name,date,amount,category,vendor
PROP001,Riad Atlas,15/01/2021,45.00,Cleaning,CleanPro Services
PROP001,Riad Atlas,20/02/2021,120.00,Maintenance,FixIt Solutions
PROP002,Villa Océan,10/03/2021,95.00,Pool Maintenance,Blue Pool Care
PROP002,Villa Océan,05/04/2021,220.00,Utilities,Maroc Électricité
PROP003,Studio Marina,12/05/2021,60.00,Cleaning,CleanPro Services
PROP003,Studio Marina,18/06/2021,85.00,Internet & TV,Maroc Telecom
PROP001,Riad Atlas,01/08/2021,150.00,Gardening,Jardin Vert
PROP004,Palais Royal,25/09/2021,310.00,Maintenance,Elite Maintenance
PROP004,Palais Royal,10/10/2021,180.00,Cleaning,CleanPro Services
PROP005,Beach House,15/11/2021,75.00,Pool Maintenance,Blue Pool Care
PROP001,Riad Atlas,05/12/2021,60.00,Internet & TV,Maroc Telecom
PROP002,Villa Océan,20/12/2021,200.00,Utilities,Maroc Électricité
PROP003,Studio Marina,10/01/2022,55.00,Cleaning,CleanPro Services
PROP004,Palais Royal,28/02/2022,420.00,Maintenance,Elite Maintenance
PROP005,Beach House,15/03/2022,95.00,Pool Maintenance,Blue Pool Care
PROP001,Riad Atlas,02/04/2022,130.00,Gardening,Jardin Vert
PROP002,Villa Océan,18/05/2022,240.00,Utilities,Maroc Électricité
PROP003,Studio Marina,22/06/2022,85.00,Internet & TV,Maroc Telecom
PROP004,Palais Royal,05/07/2022,200.00,Cleaning,CleanPro Services
PROP005,Beach House,14/08/2022,110.00,Maintenance,FixIt Solutions
PROP001,Riad Atlas,30/09/2022,45.00,Cleaning,CleanPro Services
PROP002,Villa Océan,12/10/2022,350.00,Maintenance,FixIt Solutions
PROP003,Studio Marina,25/11/2022,60.00,Internet & TV,Maroc Telecom
PROP004,Palais Royal,08/12/2022,280.00,Utilities,Maroc Électricité
PROP005,Beach House,15/01/2023,85.00,Pool Maintenance,Blue Pool Care
PROP001,Riad Atlas,20/02/2023,140.00,Gardening,Jardin Vert
PROP002,Villa Océan,10/03/2023,210.00,Utilities,Maroc Électricité
PROP003,Studio Marina,05/04/2023,55.00,Cleaning,CleanPro Services
PROP004,Palais Royal,18/05/2023,450.00,Maintenance,Elite Maintenance
PROP005,Beach House,22/06/2023,100.00,Pool Maintenance,Blue Pool Care
PROP001,Riad Atlas,02/07/2023,65.00,Internet & TV,Maroc Telecom
PROP002,Villa Océan,15/08/2023,230.00,Utilities,Maroc Électricité
PROP003,Studio Marina,28/09/2023,75.00,Cleaning,CleanPro Services
PROP004,Palais Royal,10/10/2023,190.00,Cleaning,CleanPro Services
PROP005,Beach House,25/11/2023,120.00,Maintenance,FixIt Solutions
PROP001,Riad Atlas,05/12/2023,150.00,Gardening,Jardin Vert
PROP002,Villa Océan,15/01/2024,95.00,Pool Maintenance,Blue Pool Care
PROP003,Studio Marina,20/02/2024,60.00,Internet & TV,Maroc Telecom
PROP004,Palais Royal,10/03/2024,380.00,Maintenance,Elite Maintenance
PROP005,Beach House,05/04/2024,85.00,Cleaning,CleanPro Services
PROP001,Riad Atlas,18/05/2024,130.00,Gardening,Jardin Vert
PROP002,Villa Océan,22/06/2024,250.00,Utilities,Maroc Électricité
PROP003,Studio Marina,02/07/2024,55.00,Cleaning,CleanPro Services
PROP004,Palais Royal,15/08/2024,200.00,Cleaning,CleanPro Services
PROP005,Beach House,28/09/2024,110.00,Pool Maintenance,Blue Pool Care
PROP001,Riad Atlas,10/10/2024,70.00,Internet & TV,Maroc Telecom
PROP002,Villa Océan,25/11/2024,220.00,Utilities,Maroc Électricité
PROP003,Studio Marina,05/12/2024,80.00,Maintenance,FixIt Solutions
PROP004,Palais Royal,15/01/2025,450.00,Maintenance,Elite Maintenance
PROP005,Beach House,20/02/2025,90.00,Pool Maintenance,Blue Pool Care
PROP001,Riad Atlas,10/03/2025,140.00,Gardening,Jardin Vert
PROP002,Villa Océan,05/04/2025,260.00,Utilities,Maroc Électricité
PROP003,Studio Marina,18/05/2025,60.00,Cleaning,CleanPro Services
PROP004,Palais Royal,22/06/2025,210.00,Cleaning,CleanPro Services
PROP005,Beach House,02/07/2025,105.00,Maintenance,FixIt Solutions
PROP001,Riad Atlas,15/08/2025,75.00,Internet & TV,Maroc Telecom
PROP002,Villa Océan,28/09/2025,230.00,Utilities,Maroc Électricité
PROP003,Studio Marina,10/10/2025,55.00,Cleaning,CleanPro Services
PROP004,Palais Royal,25/11/2025,320.00,Maintenance,Elite Maintenance
PROP005,Beach House,05/12/2025,95.00,Pool Maintenance,Blue Pool Care
PROP001,Riad Atlas,15/01/2026,45.00,Cleaning,CleanPro Services
PROP001,Riad Atlas,20/02/2026,120.00,Maintenance,FixIt Solutions
PROP002,Villa Océan,10/03/2026,95.00,Pool Maintenance,Blue Pool Care
PROP002,Villa Océan,05/04/2026,220.00,Utilities,Maroc Électricité
PROP003,Studio Marina,12/05/2026,60.00,Cleaning,CleanPro Services
PROP003,Studio Marina,18/06/2026,85.00,Internet & TV,Maroc Telecom
PROP001,Riad Atlas,01/08/2026,150.00,Gardening,Jardin Vert
PROP004,Palais Royal,15/08/2026,350.00,Maintenance,Elite Maintenance
PROP005,Beach House,20/09/2026,100.00,Pool Maintenance,Blue Pool Care
