property_id,property_name,reservation_id,date,gross_revenue,management_commission,net_revenue,source
PROP001,Riad Atlas,RES-2021-001,19/01/2021,1240.00,186.00,1054.00,Airbnb
PROP001,Riad Atlas,RES-2021-002,12/02/2021,820.00,123.00,697.00,Airbnb
PROP002,Villa Océan,RES-2021-003,08/03/2021,2100.00,315.00,1785.00,Booking
PROP002,Villa Océan,RES-2021-004,22/04/2021,2300.00,345.00,1955.00,Airbnb
PROP003,Studio Marina,RES-2021-005,09/05/2021,560.00,84.00,476.00,Airbnb
PROP003,Studio Marina,RES-2021-006,27/06/2021,840.00,126.00,714.00,Booking
PROP001,Riad Atlas,RES-2021-007,17/07/2021,1320.00,198.00,1122.00,Airbnb
PROP002,Villa Océan,RES-2021-008,12/08/2021,2450.00,367.50,2082.50,Direct
PROP004,Palais Royal,RES-2021-009,22/09/2021,3200.00,480.00,2720.00,Booking
PROP005,Beach House,RES-2021-010,17/10/2021,1850.00,277.50,1572.50,Airbnb
PROP001,Riad Atlas,RES-2021-011,09/11/2021,950.00,142.50,807.50,Direct
PROP003,Studio Marina,RES-2021-012,22/12/2021,760.00,114.00,646.00,Airbnb
PROP001,Riad Atlas,RES-2022-001,17/01/2022,1350.00,202.50,1147.50,Airbnb
PROP002,Villa Océan,RES-2022-002,12/02/2022,2150.00,322.50,1827.50,Booking
PROP003,Studio Marina,RES-2022-003,19/03/2022,580.00,87.00,493.00,Airbnb
PROP004,Palais Royal,RES-2022-004,08/04/2022,3350.00,502.50,2847.50,Booking
PROP005,Beach House,RES-2022-005,27/05/2022,1900.00,285.00,1615.00,Direct
PROP001,Riad Atlas,RES-2022-006,17/06/2022,1280.00,192.00,1088.00,Airbnb
PROP002,Villa Océan,RES-2022-007,22/07/2022,2250.00,337.50,1912.50,Booking
PROP003,Studio Marina,RES-2022-008,09/08/2022,550.00,82.50,467.50,Airbnb
PROP004,Palais Royal,RES-2022-009,17/09/2022,3450.00,517.50,2932.50,Direct
PROP005,Beach House,RES-2022-010,27/10/2022,1950.00,292.50,1657.50,Airbnb
PROP001,Riad Atlas,RES-2022-011,12/11/2022,1300.00,195.00,1105.00,Booking
PROP002,Villa Océan,RES-2022-012,22/12/2022,2400.00,360.00,2040.00,Airbnb
PROP001,Riad Atlas,RES-2023-001,17/01/2023,1400.00,210.00,1190.00,Airbnb
PROP003,Studio Marina,RES-2023-002,12/02/2023,840.00,126.00,714.00,Direct
PROP002,Villa Océan,RES-2023-003,22/03/2023,2200.00,330.00,1870.00,Booking
PROP004,Palais Royal,RES-2023-004,08/04/2023,3500.00,525.00,2975.00,Airbnb
PROP005,Beach House,RES-2023-005,27/05/2023,2000.00,300.00,1700.00,Booking
PROP001,Riad Atlas,RES-2023-006,17/06/2023,1250.00,187.50,1062.50,Direct
PROP002,Villa Océan,RES-2023-007,22/07/2023,2350.00,352.50,1997.50,Airbnb
PROP003,Studio Marina,RES-2023-008,12/08/2023,890.00,133.50,756.50,Booking
PROP004,Palais Royal,RES-2023-009,17/09/2023,3600.00,540.00,3060.00,Airbnb
PROP005,Beach House,RES-2023-010,27/10/2023,2050.00,307.50,1742.50,Direct
PROP001,Riad Atlas,RES-2023-011,12/11/2023,1450.00,217.50,1232.50,Airbnb
PROP002,Villa Océan,RES-2023-012,22/12/2023,2500.00,375.00,2125.00,Booking
PROP001,Riad Atlas,RES-2024-001,17/01/2024,1480.00,222.00,1258.00,Airbnb
PROP004,Palais Royal,RES-2024-002,12/02/2024,3650.00,547.50,3102.50,Booking
PROP003,Studio Marina,RES-2024-003,19/03/2024,620.00,93.00,527.00,Direct
PROP005,Beach House,RES-2024-004,08/04/2024,2100.00,315.00,1785.00,Airbnb
PROP002,Villa Océan,RES-2024-005,27/05/2024,2600.00,390.00,2210.00,Booking
PROP001,Riad Atlas,RES-2024-006,17/06/2024,1500.00,225.00,1275.00,Airbnb
PROP003,Studio Marina,RES-2024-007,22/07/2024,900.00,135.00,765.00,Booking
PROP004,Palais Royal,RES-2024-008,12/08/2024,3800.00,570.00,3230.00,Direct
PROP005,Beach House,RES-2024-009,17/09/2024,2150.00,322.50,1827.50,Airbnb
PROP001,Riad Atlas,RES-2024-010,27/10/2024,1550.00,232.50,1317.50,Booking
PROP002,Villa Océan,RES-2024-011,12/11/2024,2700.00,405.00,2295.00,Airbnb
PROP003,Studio Marina,RES-2024-012,22/12/2024,950.00,142.50,807.50,Direct
PROP001,Riad Atlas,RES-2025-001,17/01/2025,1600.00,240.00,1360.00,Airbnb
PROP004,Palais Royal,RES-2025-002,12/02/2025,3900.00,585.00,3315.00,Booking
PROP005,Beach House,RES-2025-003,22/03/2025,2250.00,337.50,1912.50,Airbnb
PROP002,Villa Océan,RES-2025-004,08/04/2025,2800.00,420.00,2380.00,Direct
PROP003,Studio Marina,RES-2025-005,27/05/2025,920.00,138.00,782.00,Airbnb
PROP001,Riad Atlas,RES-2025-006,17/06/2025,1520.00,228.00,1292.00,Booking
PROP004,Palais Royal,RES-2025-007,22/07/2025,4000.00,600.00,3400.00,Airbnb
PROP005,Beach House,RES-2025-008,12/08/2025,2300.00,345.00,1955.00,Direct
PROP002,Villa Océan,RES-2025-009,17/09/2025,2900.00,435.00,2465.00,Booking
PROP001,Riad Atlas,RES-2025-010,27/10/2025,1650.00,247.50,1402.50,Airbnb
PROP003,Studio Marina,RES-2025-011,12/11/2025,980.00,147.00,833.00,Booking
PROP004,Palais Royal,RES-2025-012,22/12/2025,4100.00,615.00,3485.00,Airbnb
PROP001,Riad Atlas,RES-2026-001,19/01/2026,1240.00,186.00,1054.00,Airbnb
PROP001,Riad Atlas,RES-2026-002,12/02/2026,820.00,123.00,697.00,Airbnb
PROP002,Villa Océan,RES-2026-003,08/03/2026,2100.00,315.00,1785.00,Booking
PROP002,Villa Océan,RES-2026-004,22/04/2026,2300.00,345.00,1955.00,Airbnb
PROP003,Studio Marina,RES-2026-005,09/05/2026,560.00,84.00,476.00,Airbnb
PROP003,Studio Marina,RES-2026-006,27/06/2026,840.00,126.00,714.00,Booking
PROP001,Riad Atlas,RES-2026-007,17/07/2026,1320.00,198.00,1122.00,Airbnb
PROP002,Villa Océan,RES-2026-008,12/08/2026,2450.00,367.50,2082.50,Direct
PROP004,Palais Royal,RES-2026-009,22/09/2026,4200.00,630.00,3570.00,Booking
PROP005,Beach House,RES-2026-010,17/10/2026,2350.00,352.50,1997.50,Airbnb
