revenue_id,reservation_id,property_id,date,gross_revenue,management_commission,net_revenue,source
REV0001,R0001,P001,2026-01-04,180,27.0,153.0,Airbnb
REV0002,R0002,P001,2026-01-08,204,30.6,173.4,Airbnb
REV0003,R0003,P001,2026-01-03,654,98.1,555.9,Airbnb
REV0004,R0004,P001,2026-01-01,164,24.6,139.4,Airbnb
REV0005,R0005,P001,2026-01-17,348,52.2,295.8,Airbnb
REV0006,R0006,P002,2026-01-14,336,50.4,285.6,Airbnb
REV0007,R0007,P002,2026-01-09,150,22.5,127.5,Airbnb
REV0008,R0008,P002,2026-01-11,296,44.4,251.6,Airbnb
REV0009,R0009,P002,2026-01-11,132,19.8,112.2,Airbnb
REV0010,R0010,P002,2026-01-04,396,59.4,336.6,Airbnb
REV0011,R0011,P003,2026-01-15,420,63.0,357.0,Airbnb
REV0012,R0012,P003,2026-01-03,552,82.8,469.2,Airbnb
REV0013,R0013,P003,2026-01-12,474,71.1,402.9,Airbnb
REV0014,R0014,P003,2026-01-02,588,88.2,499.8,Airbnb
REV0015,R0015,P003,2026-01-03,201,30.15,170.85,Airbnb
REV0016,R0016,P001,2026-02-12,306,45.9,260.1,Airbnb
REV0017,R0017,P001,2026-02-07,623,93.45,529.55,Airbnb
REV0018,R0018,P001,2026-02-20,532,79.8,452.2,Airbnb
REV0019,R0019,P001,2026-02-08,342,51.3,290.7,Airbnb
REV0020,R0020,P001,2026-02-09,882,132.3,749.7,Airbnb
REV0021,R0021,P002,2026-02-08,190,28.5,161.5,Airbnb
REV0022,R0022,P002,2026-02-09,164,24.6,139.4,Airbnb
REV0023,R0023,P002,2026-02-11,414,62.1,351.9,Airbnb
REV0024,R0024,P002,2026-02-13,791,118.65,672.35,Airbnb
REV0025,R0025,P002,2026-02-09,258,38.7,219.3,Airbnb
REV0026,R0026,P003,2026-02-19,505,75.75,429.25,Airbnb
REV0027,R0027,P003,2026-02-05,708,106.2,601.8,Airbnb
REV0028,R0028,P003,2026-02-02,148,22.2,125.8,Airbnb
REV0029,R0029,P003,2026-02-14,378,56.7,321.3,Airbnb
REV0030,R0030,P003,2026-02-13,684,102.6,581.4,Airbnb
REV0031,R0031,P001,2026-03-04,861,129.15,731.85,Airbnb
REV0032,R0032,P001,2026-03-11,184,27.6,156.4,Airbnb
REV0033,R0033,P001,2026-03-06,275,41.25,233.75,Airbnb
REV0034,R0034,P001,2026-03-17,357,53.55,303.45,Airbnb
REV0035,R0035,P001,2026-03-10,833,124.95,708.05,Airbnb
REV0036,R0036,P002,2026-03-12,372,55.8,316.2,Airbnb
REV0037,R0037,P002,2026-03-01,576,86.4,489.6,Airbnb
REV0038,R0038,P002,2026-03-01,202,30.3,171.7,Airbnb
REV0039,R0039,P002,2026-03-08,170,25.5,144.5,Airbnb
REV0040,R0040,P002,2026-03-03,234,35.1,198.9,Airbnb
REV0041,R0041,P003,2026-03-16,456,68.4,387.6,Airbnb
REV0042,R0042,P003,2026-03-17,654,98.1,555.9,Airbnb
REV0043,R0043,P003,2026-03-18,560,84.0,476.0,Airbnb
REV0044,R0044,P003,2026-03-13,966,144.9,821.1,Airbnb
REV0045,R0045,P003,2026-03-15,672,100.8,571.2,Airbnb
REV0046,R0046,P001,2026-04-03,228,34.2,193.8,Airbnb
REV0047,R0047,P001,2026-04-18,390,58.5,331.5,Airbnb
REV0048,R0048,P001,2026-04-01,270,40.5,229.5,Airbnb
REV0049,R0049,P001,2026-04-08,118,17.7,100.3,Airbnb
REV0050,R0050,P001,2026-04-03,510,76.5,433.5,Airbnb
REV0051,R0051,P002,2026-04-18,384,57.6,326.4,Airbnb
REV0052,R0052,P002,2026-04-16,345,51.75,293.25,Airbnb
REV0053,R0053,P002,2026-04-07,134,20.1,113.9,Airbnb
REV0054,R0054,P002,2026-04-12,535,80.25,454.75,Airbnb
REV0055,R0055,P002,2026-04-02,966,144.9,821.1,Airbnb
REV0056,R0056,P003,2026-04-11,172,25.8,146.2,Airbnb
REV0057,R0057,P003,2026-04-07,672,100.8,571.2,Airbnb
REV0058,R0058,P003,2026-04-14,270,40.5,229.5,Airbnb
REV0059,R0059,P003,2026-04-08,222,33.3,188.7,Airbnb
REV0060,R0060,P003,2026-04-04,276,41.4,234.6,Airbnb
REV0061,R0061,P001,2026-05-08,321,48.15,272.85,Airbnb
REV0062,R0062,P001,2026-05-16,318,47.7,270.3,Airbnb
REV0063,R0063,P001,2026-05-06,275,41.25,233.75,Airbnb
REV0064,R0064,P001,2026-05-09,455,68.25,386.75,Airbnb
REV0065,R0065,P001,2026-05-18,819,122.85,696.15,Airbnb
